Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,score,label_value,Age_cat
0,2,1,0,0,3190,18,5,0,1,<25
1,1,1,1,0,4380,18,1,0,0,35-44
1,2,1,1,0,2325,24,1,1,0,25-34
1,2,2,0,2,1297,12,5,0,0,<25
1,3,1,0,3,7253,33,1,0,0,35-44
1,1,2,0,0,2384,24,5,0,0,45+
1,2,1,0,2,2116,6,4,0,0,35-44
1,2,2,0,1,585,12,5,0,0,<25
1,2,2,1,3,3577,9,1,0,0,25-34
1,2,1,3,3,8613,27,1,0,0,25-34
1,1,1,0,1,484,6,5,0,0,25-34
1,2,1,0,0,3965,42,5,1,1,25-34
0,2,1,2,3,1376,24,5,0,0,25-34
1,2,2,0,0,7297,60,0,1,1,35-44
1,2,0,0,1,6288,60,3,1,1,35-44
1,2,1,0,0,4153,18,4,0,1,35-44
1,2,2,3,3,3368,15,1,0,0,<25
0,0,1,0,3,1098,18,5,0,0,45+
0,2,2,0,0,2124,18,4,1,1,<25
0,1,1,0,0,3643,15,4,0,0,25-34
1,2,0,4,3,8858,48,1,0,0,35-44
1,2,1,0,0,3414,21,3,0,1,25-34
1,2,1,0,3,6070,18,5,0,0,25-34
1,1,1,0,3,1503,4,5,0,0,35-44
1,2,1,4,3,3074,9,5,0,0,25-34
1,3,1,0,0,1823,24,5,0,1,25-34
1,2,2,0,1,2323,36,5,1,0,<25
1,2,1,0,2,6289,42,0,0,0,25-34
1,2,0,4,3,10477,36,1,0,0,35-44
1,3,1,4,3,2859,12,1,0,0,35-44
1,2,1,0,1,882,13,5,0,0,<25
0,1,2,0,2,1881,12,5,0,0,35-44
1,2,1,0,3,1530,18,1,0,1,25-34
1,2,1,1,2,1323,6,1,0,0,25-34
1,2,1,4,3,3079,36,1,0,0,35-44
1,2,0,4,1,2760,24,1,0,0,35-44
1,2,0,1,1,2862,36,1,0,0,25-34
0,3,0,4,3,2133,12,1,0,0,45+
1,2,1,4,3,3485,20,1,0,0,35-44
0,1,2,0,0,6229,36,4,1,1,<25
1,2,1,0,2,4473,36,5,0,0,25-34
0,2,1,4,3,2012,12,3,0,0,45+
0,2,1,0,2,3749,24,4,0,0,25-34
0,2,1,0,3,2831,30,5,0,0,25-34
1,2,1,3,1,2745,21,4,0,0,25-34
1,1,1,4,0,1262,12,4,0,0,45+
1,2,1,0,0,6872,24,4,1,1,45+
0,2,1,0,1,918,9,4,0,1,25-34
0,0,1,0,2,609,12,0,0,1,25-34
0,1,2,0,3,601,4,4,0,0,<25
0,1,2,0,0,3234,24,4,1,1,<25
1,2,1,4,3,6742,30,5,0,0,35-44
0,2,1,0,0,1603,24,5,0,0,45+
1,2,1,0,1,2820,36,1,0,1,25-34
1,2,1,1,1,1804,12,1,0,0,35-44
1,2,1,3,1,1913,18,0,0,0,35-44
1,2,2,0,0,3676,6,1,0,0,35-44
0,2,2,0,1,1295,12,1,1,1,25-34
0,2,2,4,0,1200,12,3,1,0,<25
1,2,1,0,3,1101,12,1,0,0,25-34
0,2,2,4,3,4675,12,1,0,0,<25
1,2,0,0,1,2225,36,1,1,1,45+
1,2,1,4,0,6350,30,4,0,1,25-34
1,2,1,3,3,1413,12,1,0,0,45+
0,2,1,0,2,1275,10,4,0,0,<25
1,2,1,1,1,2896,24,5,0,0,25-34
1,2,1,0,3,2241,21,4,0,0,45+
0,2,1,0,0,2389,18,5,0,0,25-34
0,2,1,0,3,8133,36,1,0,0,25-34
1,1,1,0,2,2864,18,4,0,1,25-34
1,2,1,0,1,6078,12,1,0,0,25-34
1,2,1,4,1,368,6,5,0,0,35-44
0,1,1,0,0,385,12,5,0,0,45+
1,1,1,0,1,1048,10,5,0,0,<25
0,3,0,0,0,6419,24,1,0,0,35-44
1,2,1,0,0,1024,24,5,0,1,45+
1,2,1,0,0,2303,24,1,0,1,45+
1,2,1,0,1,458,9,5,0,0,<25
1,2,1,0,0,2246,12,4,0,1,45+
1,1,1,1,0,727,12,5,0,1,25-34
0,2,1,0,3,1453,18,5,0,0,25-34
0,2,1,0,3,2171,12,5,0,0,25-34
1,2,1,0,3,2697,9,5,0,0,25-34
1,2,1,3,1,1007,12,1,0,0,<25
1,2,1,0,3,701,12,3,0,0,25-34
0,1,1,0,0,626,12,5,0,1,<25
1,2,0,0,0,1845,45,5,1,1,<25
1,3,1,0,1,14027,60,1,1,1,25-34
0,2,1,0,3,5771,30,5,0,0,25-34
0,2,1,3,3,1525,24,1,0,0,25-34
0,2,2,4,3,1283,22,1,0,0,25-34
0,2,1,0,3,518,6,5,0,0,25-34
1,2,0,0,0,7119,48,4,1,1,45+
1,1,2,0,0,3021,24,4,1,0,<25
1,2,1,4,3,2751,48,1,0,0,35-44
1,1,2,2,3,660,6,6,0,0,<25
1,2,1,1,3,2463,24,1,0,0,25-34
1,3,1,1,0,2249,18,1,0,0,25-34
1,2,1,0,1,14421,48,0,1,1,25-34
0,2,2,0,0,3966,18,1,1,1,25-34
1,2,1,4,3,3077,30,5,0,0,35-44
0,2,1,0,1,959,9,4,0,1,25-34
0,1,1,0,2,745,9,5,0,1,25-34
1,1,1,0,3,2684,24,5,0,0,35-44
1,2,1,0,3,1393,12,3,0,0,45+
1,3,1,0,0,1880,18,5,0,0,25-34
0,3,1,0,1,1199,9,3,0,0,45+
1,2,0,1,1,3069,24,4,1,0,25-34
0,2,2,0,3,3972,24,4,0,0,25-34
1,3,1,0,0,14896,6,1,1,1,45+
1,2,2,0,0,2302,36,5,1,1,25-34
1,1,1,0,0,731,8,1,0,0,45+
0,2,2,0,0,1433,15,4,0,0,25-34
1,2,1,2,3,1338,6,2,0,0,45+
0,2,1,0,1,1295,18,4,1,0,25-34
1,3,0,0,0,1872,6,4,0,0,35-44
1,2,1,0,1,884,18,1,1,1,35-44
1,1,1,0,3,2538,24,1,0,1,45+
1,2,1,4,3,3105,24,5,0,0,25-34
1,3,1,4,3,7629,48,0,0,0,45+
1,1,1,0,0,2171,12,1,0,0,35-44
1,2,2,0,1,2779,18,1,1,0,<25
1,1,1,0,0,1138,9,5,0,0,25-34
1,2,1,0,0,1657,12,4,0,0,25-34
1,1,2,1,1,2767,21,0,0,1,45+
1,1,1,0,1,1928,18,4,0,1,25-34
1,1,2,0,1,2384,36,6,0,1,25-34
0,1,2,4,3,1244,9,3,0,0,35-44
1,2,1,0,3,3331,12,4,0,0,35-44
1,2,0,0,3,1597,24,3,0,0,45+
1,2,0,0,3,3863,24,0,0,0,25-34
1,1,1,0,0,709,12,5,0,1,45+
1,2,1,0,1,802,15,5,0,1,35-44
0,1,1,0,3,1736,12,4,0,0,25-34
1,1,1,0,0,662,6,1,0,0,35-44
1,1,1,4,3,783,6,1,0,0,25-34
0,2,1,0,0,1835,21,5,1,1,25-34
0,1,1,4,1,932,6,3,0,0,35-44
1,1,1,0,0,1374,6,4,0,0,35-44
1,3,0,0,0,1164,8,7,0,0,45+
0,1,0,0,0,6143,48,1,1,1,45+
1,2,2,1,3,1204,6,1,0,0,35-44
0,2,2,3,1,433,6,3,0,1,<25
1,2,1,0,3,1574,12,4,0,0,45+
1,2,1,0,1,5800,36,1,0,0,25-34
1,2,2,0,0,3161,24,0,1,1,25-34
1,2,1,0,1,907,8,0,0,0,25-34
0,1,1,2,3,3447,12,3,0,0,35-44
1,2,1,0,0,2712,36,4,0,1,35-44
1,2,1,0,0,1938,24,5,1,1,25-34
1,2,1,0,3,1851,24,5,0,0,25-34
1,2,1,1,1,3512,24,1,0,0,35-44
1,2,1,4,1,2427,18,0,0,0,35-44
0,0,0,0,0,1190,18,6,0,1,45+
1,1,1,0,3,1546,10,1,0,0,25-34
0,3,2,0,1,3017,12,4,0,0,25-34
1,1,2,0,1,276,9,1,1,0,<25
0,0,1,0,3,926,12,1,0,0,35-44
1,2,1,0,1,1391,9,0,0,0,25-34
